"Number of Applications","Application Category","Application Type","Application Criteria","Application Stream","Application Substream","Branch Location","Decision Type","Job Offer?","Applicant Type","Labour Market Check","Nationality","Gender","Month Decided","Financial Year Decided","Occupation Code","Occupation","Occupation Standard","Standard Major Group","Standard Submajor Group","Standard Minor Group","Standard Unit Group","Region"
1,Group Visa,Work,Crew of foreign fishing vessel,Work,Crew,Offshore,Approved,No Job Offer,Principal Applicant/ Application,(not recorded),Ukraine,Male,2010-10,2010/11,99999,(not recorded),N/A,(not recorded),(not recorded),(not recorded),(not recorded),Auckland
7,Group Visa,Work,Crew of foreign fishing vessel,Work,Crew,Offshore,Approved,No Job Offer,Principal Applicant/ Application,(not recorded),Ukraine,Male,2010-10,2010/11,99999,(not recorded),N/A,(not recorded),(not recorded),(not recorded),(not recorded),Canterbury
2,Group Visa,Work,Crew of foreign fishing vessel,Work,Crew,Offshore,Approved,No Job Offer,Principal Applicant/ Application,(not recorded),Ukraine,Male,2010-10,2010/11,99999,(not recorded),N/A,(not recorded),(not recorded),(not recorded),(not recorded),Nelson
3,Group Visa,Work,Crew of foreign fishing vessel,Work,Crew,Offshore,Approved,No Job Offer,Principal Applicant/ Application,(not recorded),Ukraine,Male,2011-04,2010/11,99999,(not recorded),N/A,(not recorded),(not recorded),(not recorded),(not recorded),Canterbury
1,Group Visa,Work,Crew of foreign fishing vessel,Work,Crew,Offshore,Approved,No Job Offer,Principal Applicant/ Application,(not recorded),Ukraine,Male,2011-04,2010/11,99999,(not recorded),N/A,(not recorded),(not recorded),(not recorded),(not recorded),Nelson
1,Group Visa,Work,Crew of foreign fishing vessel,Work,Crew,Offshore,Approved,No Job Offer,Principal Applicant/ Application,(not recorded),Ukraine,Male,2011-04,2010/11,231212,Ship's Engineer,ANZSCO,Professionals,"Design, Engineering, Science and Transport Professionals",Air and Marine Transport Professionals,Marine Transport Professionals,Canterbury
1,Group Visa,Work,Crew of foreign fishing vessel,Work,Crew,Offshore,Approved,No Job Offer,Principal Applicant/ Application,(not recorded),Ukraine,Male,2011-04,2010/11,231213,Ship's Master,ANZSCO,Professionals,"Design, Engineering, Science and Transport Professionals",Air and Marine Transport Professionals,Marine Transport Professionals,Canterbury
1,Group Visa,Work,Crew of foreign fishing vessel,Work,Crew,Offshore,Approved,No Job Offer,Principal Applicant/ Application,(not recorded),Ukraine,Male,2011-04,2010/11,231214,Ship's Officer,ANZSCO,Professionals,"Design, Engineering, Science and Transport Professionals",Air and Marine Transport Professionals,Marine Transport Professionals,Canterbury
1,Group Visa,Work,Crew of foreign fishing vessel,Work,Crew,Offshore,Approved,No Job Offer,Principal Applicant/ Application,(not recorded),Ukraine,Male,2011-04,2010/11,899211,Deck Hand,ANZSCO,Labourers,Other Labourers,Miscellaneous Labourers,Deck and Fishing Hands,Canterbury
1,Group Visa,Work,Crew of foreign fishing vessel,Work,Crew,Offshore,Approved,No Job Offer,Principal Applicant/ Application,(not recorded),Ukraine,Male,2011-10,2011/12,99999,(not recorded),N/A,(not recorded),(not recorded),(not recorded),(not recorded),(unknown)
8,Group Visa,Work,Crew of foreign fishing vessel,Work,Crew,Offshore,Approved,No Job Offer,Principal Applicant/ Application,(not recorded),Ukraine,Male,2011-10,2011/12,99999,(not recorded),N/A,(not recorded),(not recorded),(not recorded),(not recorded),Canterbury
1,Group Visa,Work,Crew of foreign fishing vessel,Work,Crew,Offshore,Approved,No Job Offer,Principal Applicant/ Application,(not recorded),Ukraine,Male,2012-03,2011/12,99999,(not recorded),N/A,(not recorded),(not recorded),(not recorded),(not recorded),Canterbury
1,Group Visa,Work,Crew of foreign fishing vessel,Work,Crew,Offshore,Approved,No Job Offer,Principal Applicant/ Application,(not recorded),Ukraine,Male,2012-04,2011/12,99999,(not recorded),N/A,(not recorded),(not recorded),(not recorded),(not recorded),Auckland
4,Group Visa,Work,Crew of foreign fishing vessel,Work,Crew,Offshore,Approved,No Job Offer,Principal Applicant/ Application,(not recorded),Ukraine,Male,2012-04,2011/12,99999,(not recorded),N/A,(not recorded),(not recorded),(not recorded),(not recorded),Canterbury
1,Group Visa,Work,Crew of foreign fishing vessel,Work,Crew,Offshore,Approved,No Job Offer,Principal Applicant/ Application,(not recorded),Ukraine,Male,2012-04,2011/12,99999,(not recorded),N/A,(not recorded),(not recorded),(not recorded),(not recorded),Nelson
1,Group Visa,Work,Crew of foreign fishing vessel,Work,Crew,Offshore,Approved,No Job Offer,Principal Applicant/ Application,(not recorded),Ukraine,Male,2012-10,2012/13,99999,(not recorded),N/A,(not recorded),(not recorded),(not recorded),(not recorded),Auckland
7,Group Visa,Work,Crew of foreign fishing vessel,Work,Crew,Offshore,Approved,No Job Offer,Principal Applicant/ Application,(not recorded),Ukraine,Male,2012-10,2012/13,99999,(not recorded),N/A,(not recorded),(not recorded),(not recorded),(not recorded),Canterbury
1,Group Visa,Work,Crew of foreign fishing vessel,Work,Crew,Offshore,Approved,No Job Offer,Principal Applicant/ Application,(not recorded),Ukraine,Male,2012-10,2012/13,99999,(not recorded),N/A,(not recorded),(not recorded),(not recorded),(not recorded),Nelson
